1523410236.705140|M|checking|
1523410236.705866|M|register internal trackpad|
1523410236.706050|STDEV|63|
1523410236.845384|M|mt_stop2|
1523410236.845620|M|checking|
1523410236.847111|M|unregister internal trackpad|
1523410236.848007|M|checking|
1523410236.848712|M|register internal trackpad|
1523410236.848882|STDEV|63|
1523410238.900599|M|mt_stop2|
1523410238.900779|M|checking|
1523410238.902285|M|unregister internal trackpad|
1523410238.902860|M|checking|
1523410238.903700|M|register internal trackpad|
1523410238.903899|STDEV|63|
1523410242.151107|M|mt_stop2|
1523410242.151294|M|checking|
1523410242.152671|M|unregister internal trackpad|
1523410242.153429|M|checking|
1523410242.154205|M|register internal trackpad|
1523410242.154381|STDEV|63|
1523410247.636595|M|mt_stop2|
1523410247.636849|M|checking|
1523410247.638457|M|unregister internal trackpad|
1523410247.639457|M|checking|
1523410247.640525|M|register internal trackpad|
1523410247.640795|STDEV|63|
1523410282.169787|M|mt_stop2|
1523410282.169924|M|checking|
1523410282.172535|M|unregister internal trackpad|
1523410282.173108|M|checking|
1523410282.173749|M|register internal trackpad|
1523410282.173929|STDEV|63|
1523410491.377739|usage|loading todays usage|
1523410491.417917|ASL|[Crashlytics] Version 3.9.3 (128)|
1523410491.439257|short|init|
1523410491.439290|short|no event tap functionality used|
1523410491.514681|LIC|idate 2018-04-11 01:34:51 +0000|
1523410491.522155|short|register all hotkeys|
1523410491.535533|LIC|closing previous instance of BetterTouchTool relaunch|
1523410491.542549|short|register disable hotkeys|
1523410491.544228|short|register disable hotkeys|
1523410491.545655|short|register all hotkeys|
1523410491.550525|LAUNCH|DIDLaunch|
1523410491.594177|ASL|new multitouch device recognized|
1523410491.594487|M|checking|
1523410491.597007|short|call sharedInstance4|
1523410491.607558|M|mt_stop10|
1523410491.607762|M|checking|
1523410491.609490|M|register internal trackpad|
1523410491.609748|STDEV|63|
1523410491.609829|swi|check device class|
1523410491.609839|swi|shortcuts used|
1523410492.761528|short|eventtap success|
1523410492.764555|short|register disable hotkeys|
1523410492.765584|short|register all hotkeys for current app|
1523410492.766754|short|register all hotkeys|
1523410493.490336|short|register all hotkeys for current app|
1523410493.492080|M|mt_stop2|
1523410493.492268|M|checking|
1523410493.493201|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(lizzy) port(56900)|
1523410493.493490|M|unregister internal trackpad|
1523410493.494869|M|checking|
1523410493.495280|ASL|disabling touch for internal trackpad (clamshell)|
1523410493.495719|M|register internal trackpad|
1523410493.495923|STDEV|63|
1523410493.499997|ASL|[Crashlytics:Crash] Warning: NSApplicationCrashOnExceptions is not set. This will result in poor top-level uncaught exception reporting.|
1523410493.500737|M|checking|
1523410494.763524|short|register all hotkeys for current app|
1523410537.218981|M|mt_stop2|
1523410537.219224|M|checking|
1523410537.220594|M|unregister internal trackpad|
1523410537.221495|M|checking|
1523410537.222467|M|register internal trackpad|
1523410537.222700|STDEV|63|
1523410746.648887|M|mt_stop2|
1523410746.649162|M|checking|
1523410746.650810|M|unregister internal trackpad|
1523410746.651784|M|checking|
1523410746.652678|M|register internal trackpad|
1523410746.652920|STDEV|63|
1523410746.815346|M|mt_stop2|
1523410746.815646|M|checking|
1523410746.817374|M|unregister internal trackpad|
1523410746.818292|M|checking|
